run_id,variant,seed,accuracy,f1,eval_loss,train_loss_final,data_mode
listwise-reidx1-witness-s42,V_future_relational_witness_transition_orbit_listwise,42,0.090909,0.338312,0.348027,0.306604,synthetic_transition_orbit_listwise_ranking+readout_relational_witness_transition_orbit_listwise+head_linear
listwise-reidx1-witness-s123,V_future_relational_witness_transition_orbit_listwise,123,0.272727,0.52684,0.329057,0.297272,synthetic_transition_orbit_listwise_ranking+readout_relational_witness_transition_orbit_listwise+head_linear
listwise-reidx1-witness-s777,V_future_relational_witness_transition_orbit_listwise,777,0.545455,0.715584,0.324876,0.316864,synthetic_transition_orbit_listwise_ranking+readout_relational_witness_transition_orbit_listwise+head_linear
listwise-reidx1-xdir-s42,V_control_symbolic_transition_list_cross_direction,42,0.272727,0.387013,0.330766,0.327633,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_cross_direction+head_linear
listwise-reidx1-xdir-s123,V_control_symbolic_transition_list_cross_direction,123,0.272727,0.368831,0.328085,0.325296,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_cross_direction+head_linear
listwise-reidx1-xdir-s777,V_control_symbolic_transition_list_cross_direction,777,0.181818,0.41039,0.328105,0.326102,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_cross_direction+head_linear
listwise-reidx1-perm-s42,V_control_symbolic_transition_list_orbit_permuted,42,0.272727,0.405195,0.327842,0.330082,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_orbit_permuted+head_linear
listwise-reidx1-perm-s123,V_control_symbolic_transition_list_orbit_permuted,123,0.272727,0.368831,0.326197,0.327987,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_orbit_permuted+head_linear
listwise-reidx1-perm-s777,V_control_symbolic_transition_list_orbit_permuted,777,0.181818,0.41039,0.326308,0.328778,synthetic_transition_orbit_listwise_ranking+readout_symbolic_transition_list_orbit_permuted+head_linear
