task,method,seed_count,failed_run_count,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high
phase_cued_retrieval,no_position,5,0,4.564339,4.564327,4.564349,95.999077,95.998024,96.000072,0.025,0.0,0.075,0.06014,0.030119,0.105332,0.010417,0.010417,0.010417
phase_cued_retrieval,sinusoidal,5,0,4.564339,4.56433,4.564349,95.999073,95.998172,96.000249,0.025,0.0,0.075,0.060091,0.030089,0.099963,0.010417,0.010417,0.010417
phase_cued_retrieval,alibi,5,0,4.564339,4.564328,4.56435,95.999082,95.998026,96.000139,0.025,0.0,0.075,0.060254,0.030135,0.10557,0.010417,0.010417,0.010417
phase_cued_retrieval,rope,5,0,4.564339,4.564329,4.564349,95.999079,95.998122,96.000072,0.025,0.0,0.075,0.060132,0.030104,0.100918,0.010417,0.010417,0.010417
phase_cued_retrieval,phasewrap_bias,5,0,4.564339,4.564328,4.56435,95.999101,95.998031,96.000082,0.025,0.0,0.075,0.060267,0.031219,0.102903,0.010417,0.010417,0.010417
phase_cued_retrieval,phasewrap_adapter,5,0,4.564339,4.564329,4.56435,95.999103,95.997953,96.000084,0.025,0.0,0.075,0.060261,0.029211,0.105535,0.010417,0.010417,0.010417
exact_offset_passkey,no_position,5,0,4.564364,4.564343,4.564385,96.001528,95.999562,96.003528,0.0,0.0,0.0,0.031595,0.02185,0.046235,0.010417,0.010416,0.010417
exact_offset_passkey,sinusoidal,5,0,4.564365,4.564349,4.564386,96.001566,95.999557,96.003006,0.0,0.0,0.0,0.031486,0.02072,0.044706,0.010416,0.010416,0.010417
exact_offset_passkey,alibi,5,0,4.564364,4.564343,4.564385,96.001518,95.999476,96.002957,0.0,0.0,0.0,0.03156,0.021921,0.044775,0.010417,0.010416,0.010417
exact_offset_passkey,rope,5,0,4.564364,4.564343,4.564385,96.001533,95.999507,96.003594,0.0,0.0,0.0,0.031479,0.02184,0.044372,0.010417,0.010416,0.010417
exact_offset_passkey,phasewrap_bias,5,0,4.564364,4.564343,4.564385,96.001508,95.99955,96.003607,0.0,0.0,0.0,0.030043,0.021671,0.041072,0.010417,0.010416,0.010417
exact_offset_passkey,phasewrap_adapter,5,0,4.564364,4.564343,4.564384,96.001509,95.999545,96.003459,0.0,0.0,0.0,0.03005,0.020741,0.041092,0.010417,0.010416,0.010417
