packet_id,encoding_family,source_lane_id,circuit_template,row_count,ready_row_count,trace_coverage_fraction,ready,missing_audit_fields
ibm_product_seed314_rows16_shots4096__phasewrap,phasewrap,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,16,16,1.0,True,
ibm_product_seed314_rows16_shots4096__rope_like,rope_like,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,16,16,1.0,True,
ibm_product_seed314_rows16_shots4096__sinusoidal_like,sinusoidal_like,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,16,16,1.0,True,
ibm_product_seed314_rows16_shots4096__alibi_like,alibi_like,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,16,16,1.0,True,
ibm_product_seed314_rows16_shots4096__no_position_control,no_position_control,ibm_product_seed314_rows16_shots4096,two_ry_product_state_z_readout_v1,16,16,1.0,True,
braket_product_seed2718_rows8_shots1000__phasewrap,phasewrap,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,8,8,1.0,True,
braket_product_seed2718_rows8_shots1000__rope_like,rope_like,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,8,8,1.0,True,
braket_product_seed2718_rows8_shots1000__sinusoidal_like,sinusoidal_like,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,8,8,1.0,True,
braket_product_seed2718_rows8_shots1000__alibi_like,alibi_like,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,8,8,1.0,True,
braket_product_seed2718_rows8_shots1000__no_position_control,no_position_control,braket_product_seed2718_rows8_shots1000,two_ry_product_state_z_readout_v1,8,8,1.0,True,
ibm_cx_seed314_rows16_shots4096__phasewrap,phasewrap,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,16,16,1.0,True,
ibm_cx_seed314_rows16_shots4096__rope_like,rope_like,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,16,16,1.0,True,
ibm_cx_seed314_rows16_shots4096__sinusoidal_like,sinusoidal_like,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,16,16,1.0,True,
ibm_cx_seed314_rows16_shots4096__alibi_like,alibi_like,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,16,16,1.0,True,
ibm_cx_seed314_rows16_shots4096__no_position_control,no_position_control,ibm_cx_seed314_rows16_shots4096,two_ry_cx_parity_z_readout_v1,16,16,1.0,True,
braket_cx_seed2718_rows8_shots1000__phasewrap,phasewrap,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,8,8,1.0,True,
braket_cx_seed2718_rows8_shots1000__rope_like,rope_like,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,8,8,1.0,True,
braket_cx_seed2718_rows8_shots1000__sinusoidal_like,sinusoidal_like,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,8,8,1.0,True,
braket_cx_seed2718_rows8_shots1000__alibi_like,alibi_like,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,8,8,1.0,True,
braket_cx_seed2718_rows8_shots1000__no_position_control,no_position_control,braket_cx_seed2718_rows8_shots1000,two_ry_cx_parity_z_readout_v1,8,8,1.0,True,
