base_noise_model_id,signed_offset_radians,locked_template_count,stable_target_count,stable_template_count,min_positional_margin_shot_quanta,min_control_margin_shot_quanta
ibm_backend_median_stochastic,-0.04,2,0,0,-15.121235,18.105664
ibm_backend_median_stochastic,-0.03,2,0,0,-11.652485,4.980664
ibm_backend_median_stochastic,-0.02,2,0,0,-7.741903,-10.046253
ibm_backend_median_stochastic,-0.01,2,0,0,-3.228965,-26.265003
ibm_backend_median_stochastic,0.0,2,0,0,-3.58929,-44.046253
ibm_backend_median_stochastic,0.01,2,0,0,-5.004906,-23.796253
ibm_backend_median_stochastic,0.02,2,0,0,-5.471142,-6.651917
ibm_backend_median_stochastic,0.03,2,0,0,-11.402491,8.002166
ibm_backend_median_stochastic,0.04,2,0,0,-12.09649,21.814666
ibm_backend_p75_stochastic,-0.04,2,0,0,-14.835653,-23.702503
ibm_backend_p75_stochastic,-0.03,2,0,0,-12.554403,-39.483753
ibm_backend_p75_stochastic,-0.02,2,0,0,-5.714985,-54.858753
ibm_backend_p75_stochastic,-0.01,2,0,0,-3.593622,-70.296253
ibm_backend_p75_stochastic,0.0,2,0,0,-6.83929,-87.171253
ibm_backend_p75_stochastic,0.01,2,0,0,-10.305711,-68.577503
ibm_backend_p75_stochastic,0.02,2,0,0,-9.911156,-50.265003
ibm_backend_p75_stochastic,0.03,2,0,0,-7.23557,-31.890003
ibm_backend_p75_stochastic,0.04,2,0,0,-9.564892,-17.058167
