row_count,loss,perplexity,top1_accuracy,top1_ci_low,top1_ci_high,mrr,mrr_ci_low,mrr_ci_high,mean_target_probability_mass,target_probability_mass_ci_low,target_probability_mass_ci_high,mean_first_relevant_rank,method,split,task
20,3.496508,33.0,0.0,0.0,0.0,0.095885,0.071752,0.12551,0.030303,0.030303,0.030303,14.5,no_position,test:passkey_exact,passkey_exact
20,3.583519,36.0,0.0,0.0,0.0,0.029412,0.029412,0.029412,0.027778,0.027778,0.027778,34.0,no_position,test:multi_needle,multi_needle
20,2.890372,18.0,0.15,0.0,0.3,0.212734,0.074809,0.353712,0.055556,0.055556,0.055556,13.6,no_position,test:aggregation,aggregation
20,3.770614,43.406728,0.0,0.0,0.0,0.063885,0.05061,0.079835,0.024994,0.020963,0.02945,19.5,alibi,test:passkey_exact,passkey_exact
20,2.984221,19.7711,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.050674,0.049389,0.051956,3.0,alibi,test:multi_needle,multi_needle
20,3.138231,23.063025,0.0,0.0,0.0,0.062864,0.048803,0.079352,0.045944,0.039334,0.053724,19.75,alibi,test:aggregation,aggregation
20,0.103401,1.108936,1.0,1.0,1.0,1.0,1.0,1.0,0.907253,0.860843,0.937603,1.0,rope_relative,test:passkey_exact,passkey_exact
20,0.084201,1.087847,1.0,1.0,1.0,1.0,1.0,1.0,0.92206,0.888702,0.949443,1.0,rope_relative,test:multi_needle,multi_needle
20,0.109364,1.115568,1.0,1.0,1.0,1.0,1.0,1.0,0.902008,0.857605,0.929989,1.0,rope_relative,test:aggregation,aggregation
20,0.78399,2.190195,0.8,0.6,0.95,0.891667,0.783333,0.975,0.484804,0.413548,0.552615,1.25,sinusoidal,test:passkey_exact,passkey_exact
20,0.81629,2.262091,0.5,0.25,0.7,0.741667,0.625,0.85,0.454573,0.408942,0.503277,1.55,sinusoidal,test:multi_needle,multi_needle
20,0.808629,2.244828,0.85,0.7,1.0,0.925,0.825,1.0,0.462418,0.413029,0.52447,1.15,sinusoidal,test:aggregation,aggregation
20,3.228163,25.233267,0.0,0.0,0.0,0.0671,0.06121,0.073966,0.039771,0.038479,0.041392,15.5,phasewrap_score,test:passkey_exact,passkey_exact
20,3.352892,28.58527,0.0,0.0,0.0,0.053816,0.050443,0.056997,0.035082,0.033936,0.036193,18.95,phasewrap_score,test:multi_needle,multi_needle
20,2.733301,15.38358,0.0,0.0,0.0,0.125208,0.081415,0.181828,0.066967,0.060304,0.073562,12.25,phasewrap_score,test:aggregation,aggregation
20,0.941321,2.563365,0.8,0.6,0.95,0.9,0.8,0.975,0.417455,0.349094,0.486629,1.2,phasewrap_residual_adapter,test:passkey_exact,passkey_exact
20,1.168159,3.216066,0.2,0.05,0.4,0.545833,0.445833,0.658333,0.320291,0.285598,0.35694,2.15,phasewrap_residual_adapter,test:multi_needle,multi_needle
20,1.131239,3.099496,0.7,0.5,0.9,0.833333,0.708333,0.941667,0.338071,0.293516,0.382174,1.4,phasewrap_residual_adapter,test:aggregation,aggregation
20,0.549626,1.732604,1.0,1.0,1.0,1.0,1.0,1.0,0.590535,0.531598,0.644114,1.0,phasewrap_distance_adapter,test:passkey_exact,passkey_exact
20,0.413508,1.512112,1.0,1.0,1.0,1.0,1.0,1.0,0.67221,0.622218,0.720593,1.0,phasewrap_distance_adapter,test:multi_needle,multi_needle
20,0.639803,1.896108,1.0,1.0,1.0,1.0,1.0,1.0,0.537859,0.493668,0.583988,1.0,phasewrap_distance_adapter,test:aggregation,aggregation
