row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,mean_first_relevant_rank,method,model_seed
60,3.323466,27.75639,0.05,0.118035,0.037879,21.016667,no_position,2801
60,3.323466,27.75639,0.05,0.118035,0.037879,21.016667,no_position,2819
60,3.323466,27.75639,0.05,0.118035,0.037879,21.016667,no_position,2833
60,3.323466,27.75639,0.05,0.118035,0.037879,21.016667,no_position,2837
60,3.323466,27.75639,0.05,0.118035,0.037879,21.016667,no_position,2843
60,3.319754,27.653535,0.0,0.153196,0.037937,13.9,alibi,2801
60,3.316634,27.567398,0.0,0.153196,0.037988,13.9,alibi,2819
60,3.319207,27.638414,0.0,0.153196,0.037946,13.9,alibi,2833
60,3.319207,27.638415,0.0,0.153196,0.037946,13.9,alibi,2837
60,3.321472,27.70109,0.0,0.153196,0.03791,13.9,alibi,2843
60,0.367668,1.444362,1.0,1.0,0.70306,1.0,rope_relative,2801
60,0.370901,1.449039,1.0,1.0,0.70101,1.0,rope_relative,2819
60,0.364998,1.440511,1.0,1.0,0.706036,1.0,rope_relative,2833
60,0.363505,1.438363,1.0,1.0,0.704494,1.0,rope_relative,2837
60,0.356263,1.427983,1.0,1.0,0.709735,1.0,rope_relative,2843
60,0.798412,2.22201,0.666667,0.825,0.468288,1.383333,sinusoidal,2801
60,0.808495,2.244528,0.666667,0.825,0.463386,1.383333,sinusoidal,2819
60,0.805853,2.238604,0.666667,0.825,0.464692,1.383333,sinusoidal,2833
60,0.793354,2.210798,0.666667,0.825,0.470806,1.383333,sinusoidal,2837
60,0.793012,2.210043,0.666667,0.825,0.47099,1.383333,sinusoidal,2843
60,3.119313,22.630832,0.016667,0.08086,0.046014,16.766667,phasewrap_score,2801
60,3.123038,22.715293,0.016667,0.08086,0.045851,16.766667,phasewrap_score,2819
60,3.138277,23.064082,0.016667,0.08086,0.045181,16.766667,phasewrap_score,2833
60,3.12669,22.798393,0.016667,0.08086,0.045687,16.766667,phasewrap_score,2837
60,3.131635,22.911413,0.016667,0.08086,0.045472,16.766667,phasewrap_score,2843
60,1.198632,3.31558,0.45,0.673611,0.317476,1.9,phasewrap_residual_adapter,2801
60,1.194259,3.30111,0.45,0.673611,0.318886,1.9,phasewrap_residual_adapter,2819
60,1.1761,3.241706,0.45,0.673611,0.324989,1.9,phasewrap_residual_adapter,2833
60,1.16201,3.19635,0.45,0.673611,0.329887,1.9,phasewrap_residual_adapter,2837
60,1.1939,3.299927,0.45,0.673611,0.318904,1.9,phasewrap_residual_adapter,2843
60,0.674708,1.96346,1.0,1.0,0.519551,1.0,phasewrap_distance_adapter,2801
60,0.674031,1.962131,1.0,1.0,0.519819,1.0,phasewrap_distance_adapter,2819
60,0.703854,2.021528,1.0,1.0,0.50602,1.0,phasewrap_distance_adapter,2833
60,0.685099,1.983968,1.0,1.0,0.514695,1.0,phasewrap_distance_adapter,2837
60,0.648678,1.91301,1.0,1.0,0.532121,1.0,phasewrap_distance_adapter,2843
