row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed
60,3.341653,28.265809,0.05,0.118035,0.0372,0.9628,0.028103,0.021897,21.016667,no_position,3101
60,3.341685,28.266709,0.05,0.118035,0.037199,0.962801,0.028102,0.021898,21.016667,no_position,3119
60,3.341741,28.268295,0.05,0.118035,0.037197,0.962803,0.0281,0.0219,21.016667,no_position,3121
60,3.341726,28.267862,0.05,0.118035,0.037198,0.962802,0.028101,0.021899,21.016667,no_position,3137
60,3.341757,28.268741,0.05,0.118035,0.037196,0.962804,0.0281,0.0219,21.016667,no_position,3163
60,3.306912,27.300683,0.0,0.153196,0.037881,0.962119,0.034976,0.034976,13.9,alibi,3101
60,3.306914,27.300734,0.0,0.153196,0.037881,0.962119,0.034977,0.034977,13.9,alibi,3119
60,3.306923,27.300995,0.0,0.153196,0.03788,0.96212,0.034976,0.034976,13.9,alibi,3121
60,3.306987,27.302743,0.0,0.153196,0.037878,0.962122,0.03497,0.03497,13.9,alibi,3137
60,3.306953,27.301812,0.0,0.153196,0.037879,0.962121,0.034973,0.034973,13.9,alibi,3163
60,0.202469,1.224422,1.0,1.0,0.821106,0.178894,0.816601,0.183399,1.0,rope_relative,3101
60,0.202482,1.224438,1.0,1.0,0.821095,0.178905,0.81659,0.18341,1.0,rope_relative,3119
60,0.20249,1.224448,1.0,1.0,0.821088,0.178912,0.816584,0.183416,1.0,rope_relative,3121
60,0.20248,1.224436,1.0,1.0,0.821097,0.178903,0.816592,0.183408,1.0,rope_relative,3137
60,0.202437,1.224383,1.0,1.0,0.821134,0.178866,0.816626,0.183374,1.0,rope_relative,3163
60,1.04068,2.831143,0.666667,0.825,0.364533,0.635467,0.361878,0.308735,1.383333,sinusoidal,3101
60,1.040733,2.831291,0.666667,0.825,0.364513,0.635487,0.361857,0.308752,1.383333,sinusoidal,3119
60,1.040773,2.831405,0.666667,0.825,0.364497,0.635503,0.361842,0.308765,1.383333,sinusoidal,3121
60,1.040689,2.831168,0.666667,0.825,0.36453,0.63547,0.361874,0.308738,1.383333,sinusoidal,3137
60,1.040722,2.831259,0.666667,0.825,0.364517,0.635483,0.361862,0.308749,1.383333,sinusoidal,3163
60,3.172714,23.872188,0.016667,0.08086,0.043665,0.956335,0.055185,0.038518,16.766667,phasewrap_bias,3101
60,3.172842,23.875252,0.016667,0.08086,0.04366,0.95634,0.055176,0.038509,16.766667,phasewrap_bias,3119
60,3.172741,23.872822,0.016667,0.08086,0.043664,0.956336,0.055185,0.038518,16.766667,phasewrap_bias,3121
60,3.17284,23.875197,0.016667,0.08086,0.04366,0.95634,0.055178,0.038511,16.766667,phasewrap_bias,3137
60,3.172732,23.872606,0.016667,0.08086,0.043664,0.956336,0.055184,0.038518,16.766667,phasewrap_bias,3163
60,3.344639,28.350346,0.0,0.050557,0.036771,0.963229,0.037669,0.037669,21.15,phasewrap_distance_adapter,3101
60,3.34461,28.349523,0.0,0.050557,0.036772,0.963228,0.03767,0.03767,21.15,phasewrap_distance_adapter,3119
60,3.344674,28.35132,0.0,0.050557,0.03677,0.96323,0.037667,0.037667,21.15,phasewrap_distance_adapter,3121
60,3.344497,28.34631,0.0,0.050557,0.036776,0.963224,0.037675,0.037675,21.15,phasewrap_distance_adapter,3137
60,3.344606,28.349392,0.0,0.050557,0.036772,0.963228,0.03767,0.03767,21.15,phasewrap_distance_adapter,3163
